Age,Gender,family_income,parent_education_level,School,Level,100_level_cgpa,current_cgpa,MATH 101,MATH 102,COSC 111,PHY101,PHY102,classAttendance,Assignment_score,Assignment_performance,class_participation,"Rate your attendance to classes
",Rate your overall performance.,Do you have health issues that affect your studies,Education motivation level,study_hours,study_preference,Internet_access,time_management_skills,Peer  influence on student perfromance, course_material,Hall_distance,Extracurricular activity
17.8,,,,,,5,,B,C,B,C,A,10,5,10,,10,,,,20,Self-study,,,3,2,1 km - 2km,Yes
17,Female,"Greater than 70,000,000 per annum",Postgraduate,Computing,400,4.5,4,B,A,A,A,A,10,5,10,4,8,High,No,High,< 40 hours,Self-study,Yes,Average,10,3,1 km,Yes
18,Male,"30,000,000-50,000,000 naira per annum",Bachelor's,Computing,300,5,5,A,A,B,A,A,9,5,9,9,9,High,No,High,< 40 hours,Self-study,Yes,Average,1,5,Less than 1 km,No
18,Male,"< 30,000,000 naira/yesr",Postgraduate,Computing,200,4,4,B,A,A,A,B,7,4,8,6,7,Medium,No,Medium,< 40 hours,Self-study,Yes,Average,8,4,Less than 1 km,Yes
17,Male,"30,000,000-50,000,000 naira per annum",Postgraduate,Computing,200,4.5,4.5,A,A,A,A,B,7,4,8,2,7,Low,No,Medium,< 40 hours,Self-study,Yes,Poor,10,4,1 km,Yes
19,Male,"< 30,000,000 naira/yesr",Bachelor's,Computing,300,4,4,B,A,B,C,B,7,3,7,5,8,Medium,No,Medium,< 40 hours,Self-study,Yes,Average,6,4,2 km,Yes
17,Female,"Greater than 70,000,000 per annum",Postgraduate,Public Health,200,4.5,4.5,B,B,B,A,B,10,4,10,10,10,High,No,Medium,50,Self-study,Yes,Average,8,5,2 km,Yes
18,Female,"< 30,000,000 naira/yesr",Postgraduate,Computing,300,3.35,3.35,B,B,B,B,B,9,3,9,2,9,Medium,Yes,Low,< 40 hours,Self-study,Yes,Average,4,2,1 km,Yes
21,Female,"< 30,000,000 naira/yesr",Secondary school,Computing,400,3.35,4,B,B,B,C,C,10,5,10,10,10,High,Yes,High,< 40 hours,Group Study,Yes,Poor,10,3,10km,Yes
20,Male,"< 30,000,000 naira/yesr",Postgraduate,Computing,300,4,4,B,B,A,B,B,7,4,7,7,7,High,No,Medium,< 40 hours,Self-study,Yes,Average,7,3,Less than 1 km,No
20,Female,"< 30,000,000 naira/yesr",Bachelor's,Computing,400,4,4,B,B,B,B,B,9,4,9,7,9,High,No,Medium,< 40 hours,Self-study,Yes,Average,5,4,2 km,No
21,Female,"< 30,000,000 naira/yesr",Bachelor's,Computing,,4,4,B,A,B,B,B,10,5,10,8,10,High,No,Medium,< 40 hours,Self-study,Yes,Average,3,4,2 km,No
